Fecha,Mexico,US,Internacional
40030,28082.63086,1308.613459,488.986904
40031,27802.41016,1302.43573,483.86617
40032,28179.55078,1308.515961,482.5476
40035,28305.32031,1302.770974,477.4289742
40036,27800.80078,1297.736664,476.257474
40037,28096.01953,1305.239079,479.1056
40038,28155.49023,1305.834705,483.275835
40039,27855.42969,1293.841243,478.6917428
40042,27299.58008,1277.636734,467.856
40043,27544.32031,1280.906651,474.2806101
40044,27598.36914,1287.654719,473.9177559
40045,27944.24023,1300.619887,480.633084
40046,28308.96094,1320.590263,486.9652628
40049,28004.26953,1328.081027,489.25907
40050,28005.46094,1342.266392,497.819964
40051,28212.84961,1356.272794,500.0738531
40052,28437.25977,1368.302566,506.430737
40053,28599.91992,1367.71736,505.2536868
40056,28129.94922,1368.127875,505.1364507
40057,27749.16016,1364.924359,503.8778072
40058,27953.33984,1361.325196,504.5986
40059,28150.08984,1361.361732,505.996437
40060,28309.55078,1359.439173,506.0268266
40064,29190.82031,1373.322567,517.3639667
40065,29100.05078,1392.938345,525.1886484
40066,29318.41992,1398.212983,527.4487767
40067,29448.78906,1395.64113,526.5791167
40070,29383.18945,1405.803827,528.5117667
40071,29625.01953,1406.224021,527.4005366
40072,29625.01953,1415.024932,532.809891
40073,30017.7207,1422.002537,532.919184
40074,29942,1412.972813,532.91
40077,29607.16016,1424.162575,534.3452646
40078,29513.67969,1428.056832,539.239168
40079,28959.66992,1419.73278,535.10742
40080,28465.10938,1418.527612,531.559448
40081,28759.98047,1415.746594,532.1417909
40084,29401.99023,1438.88172,537.5506335
40085,29432.00977,1434.074,536.83072
40086,29232.24023,1426.172399,538.5121155
40087,28588.25977,1416.43474,531.5240982
40088,28678.66016,1396.600456,522.175144
40091,29214.40039,1415.753767,530.533392
40092,29690.48047,1420.766034,533.107063
40093,29763.36914,1414.3027,531.2324247
40094,29898.84961,1411.921531,534.5197812
40095,30039.71094,1424.691703,536.2185487
40098,30475.42969,1423.712656,536.8009936
40099,30611.09961,1408.037621,532.3708401
40100,30881.09961,1428.288158,543.5622139
40101,31017.73047,1434.304643,545.561328
40102,30726.30078,1426.948992,538.463905
40105,30927.10938,1420.38618,539.873529
40106,31000.93945,1423.650626,539.816619
40107,30889.05078,1400.885867,535.2178341
40108,30761.75977,1410.214897,538.1337769
40109,30617.67969,1413.93501,537.4209102
40112,30280.08008,1421.528868,538.1093683
40113,29312.83984,1407.266128,529.873659
40114,28670.90039,1390.062588,516.164395
40115,29247.83008,1392.529076,523.9774231
40116,28646.0293,1363.48129,509.6597178
40119,28646.0293,1378.79744,517.84206
40120,28886.5293,1388.265997,518.6927535
40121,29430.50977,1395.435973,525.084
40122,29735.33984,1419.683868,532.9295503
40123,29868.61914,1436.141888,538.368896
40126,30646.24023,1454.081556,549.4111465
40127,30788.19922,1445.875612,543.968005
40128,31097.64063,1449.309666,544.7246663
40129,30759.84961,1436.873648,536.9002644
40130,31002.08984,1428.458259,538.180287
40133,31002.08984,1444.506677,545.408136
40134,31400.19922,1452.742,545.137071
40135,31056.61914,1446.81039,542.862725
40136,30817.66992,1433.91974,534.42301
40137,30666.50977,1429.735779,531.6270439
40140,31126.16992,1436.847792,536.7758659
40141,30961.99023,1429.939639,530.28486
40142,31364.03906,1428.281392,535.5093344
40144,30775.44922,1416.95924,522.4528259
40147,30957.10938,1421.854046,524.95047
40148,31750.58008,1430.093739,536.5742143
40149,32111.78906,1413.219875,532.0058407
40150,31967.42969,1395.147972,526.1823976
40151,32105.39063,1404.842676,526.325609
40154,32085.16992,1403.633373,524.2730653
40155,31710.39063,1416.490043,524.9322471
40156,31670.21094,1417.915717,524.1468002
40157,31916.59961,1430.896043,527.015675
40158,31901.68945,1431.39681,524.970025
40161,32009.88086,1424.988911,524.1646105
40162,31902.59961,1413.454605,517.526226
40163,31956.25,1418.378234,523.8791213
40164,31948.41016,1418.611572,518.1061218
40165,31834.07031,1414.809841,517.4756068
40168,31799.23047,1438.751015,522.6182391
40169,32240.32031,1439.305899,521.2057071
40170,32450.23047,1444.210936,525.8243542
40171,32548.5293,1445.784215,527.7729349
40175,32610.50977,1467.918757,534.581822
40176,32626.28906,1464.146686,536.177407
40177,32448.74023,1469.814965,536.3544751
40178,32120.4707,1458.080986,535.26644
40182,32758.5293,1458.76112,541.3879209
40183,32732.75977,1455.691166,540.7438552
40184,32830.16016,1448.608532,539.6452327
40185,33064.57031,1457.087264,536.6940248
40186,32892.03906,1453.228794,537.5564087
40189,32935.37891,1460.925966,544.3614
40190,32792.66016,1454.938979,541.089816
40191,32836.07813,1454.986318,539.8758073
40192,32729.58008,1456.186086,540.3840553
40193,32262.30078,1442.262047,533.6775623
40197,32473.05078,1454.197291,538.1516133
40198,32025.33984,1452.313878,528.6937612
40199,31205.30078,1446.481451,524.3333789
40200,30830.91016,1416.475529,513.879311
40203,30465.06055,1411.181127,516.288928
40204,30651.56055,1406.765019,512.2060871
40205,30610.83008,1421.914121,513.1992471
40206,30811.34961,1416.816786,508.8117281
40207,30391.60938,1405.037052,503.97642
40210,30391.60938,1405.52163,506.4826671
40211,30876.65039,1420.899625,513.753448
40212,31287.03906,1422.100832,513.2666351
40213,30603.71094,1400.037278,499.4308142
40214,30630.73047,1400.125873,491.6061631
40217,30649.43945,1400.956454,490.8441035
40218,30818.48047,1393.034419,496.825578
40219,30746.05078,1402.392829,499.4410906
40220,30845.63086,1398.553381,499.2523741
40221,31005.74023,1397.356961,495.619384
40225,31644.76953,1409.10547,503.3436928
40226,31892.11914,1419.177435,505.8377541
40227,32170.78906,1429.452496,509.7362071
40228,32172.10938,1422.591987,503.0399872
40231,32034.33984,1423.448315,503.764436
40232,31850.24023,1418.953813,501.2405139
40233,31788.53906,1418.749778,499.5453558
40234,31649.09961,1415.801284,496.1125272
40235,31634.53906,1413.97259,498.222968
40238,31765.14063,1424.281364,502.552764
40239,32055.03906,1428.148882,506.852852
40240,32353.53906,1426.108968,510.249838
40241,32202,1431.372787,508.55415
40242,32436.5293,1442.303425,515.568244
40245,32520.26953,1447.320928,517.3979047
40246,32514.16992,1444.897243,514.4117
40247,32505.75977,1447.104409,515.0518308
40248,32602.93945,1450.940927,516.6581596
40249,32578.05078,1445.328267,516.492655
40252,32578.05078,1447.84036,514.3725825
40253,32723.90039,1456.975969,520.0356325
40254,32798.30078,1458.152595,521.000048
40255,32969.82813,1464.626869,520.0776965
40256,33022.83984,1456.733974,517.3999344
40259,33142.01953,1459.438593,516.7306435
40260,33361.26953,1465.957828,519.409255
40261,33160.96875,1469.952306,514.936237
40262,33164.32813,1463.490925,512.6295725
40263,33147.80859,1456.818679,514.7225845
40266,33416.10156,1457.23172,517.70728
40267,33399.46094,1450.453545,515.4422684
40268,33266.42969,1445.5701,515.0924446
40269,33266.42969,1449.671575,522.2755401
